country_code,region,simulation_index,ratio
CRI,Latin America and Caribbean,45,4.240521216218414
CRI,Latin America and Caribbean,46,3.9559810145985783
CRI,Latin America and Caribbean,47,11.993692766681797
CRI,Latin America and Caribbean,48,8.315471210600927
CRI,Latin America and Caribbean,49,5.954623226959519
CRI,Latin America and Caribbean,50,12.144164338553246
CRI,Latin America and Caribbean,51,5.114326869587553
CRI,Latin America and Caribbean,52,4.502994414490786
CRI,Latin America and Caribbean,53,4.2898898438978295
CRI,Latin America and Caribbean,54,3.890665924854903
CRI,Latin America and Caribbean,55,4.353185892591369
CRI,Latin America and Caribbean,56,3.2659798887354623
CRI,Latin America and Caribbean,57,10.867110505470219
CRI,Latin America and Caribbean,58,7.240339420360859
CRI,Latin America and Caribbean,59,4.767891417139804
CRI,Latin America and Caribbean,60,6.061940654235217
CRI,Latin America and Caribbean,61,4.394405818369834
CRI,Latin America and Caribbean,62,21.691859404790442
CRI,Latin America and Caribbean,63,9.045759364635325
CRI,Latin America and Caribbean,64,9.021495400914171
CRI,Latin America and Caribbean,65,12.742194813637383
CRI,Latin America and Caribbean,66,8.979429078611687
CRI,Latin America and Caribbean,67,4.487347371223342
CRI,Latin America and Caribbean,68,4.428281502312218
CRI,Latin America and Caribbean,69,6.449486642955898
CRI,Latin America and Caribbean,70,6.180271087452424
CRI,Latin America and Caribbean,71,2.855367444311172
CRI,Latin America and Caribbean,72,9.003127977084073
CRI,Latin America and Caribbean,73,3.558059783650665
CRI,Latin America and Caribbean,74,6.262460755827418
CRI,Latin America and Caribbean,75,5.54803630288122
CRI,Latin America and Caribbean,76,9.451398495063755
CRI,Latin America and Caribbean,77,3.515608900884761
CRI,Latin America and Caribbean,78,13.087459663721067
CRI,Latin America and Caribbean,79,10.64151723935703
CRI,Latin America and Caribbean,80,7.076747841690894
CRI,Latin America and Caribbean,81,7.755785517440691
CRI,Latin America and Caribbean,82,7.5037669213233364
CRI,Latin America and Caribbean,83,7.385903900949923
CRI,Latin America and Caribbean,84,28.95231106893257
CRI,Latin America and Caribbean,85,2.8353185031689145
CRI,Latin America and Caribbean,86,5.733823936355609
CRI,Latin America and Caribbean,87,3.7412672434894607
CRI,Latin America and Caribbean,88,5.874875230715136
CRI,Latin America and Caribbean,89,3.966497511976422
CRI,Latin America and Caribbean,90,3.7908802488161784
CRI,Latin America and Caribbean,91,23.361176049177576
CRI,Latin America and Caribbean,92,2.9855263526397957
CRI,Latin America and Caribbean,93,3.8999991231079214
CRI,Latin America and Caribbean,94,6.406123687396843
CRI,Latin America and Caribbean,95,22.93975861065252
CRI,Latin America and Caribbean,96,8.39205763126845
CRI,Latin America and Caribbean,97,5.771059661573831
CRI,Latin America and Caribbean,98,6.990405332596167
CRI,Latin America and Caribbean,99,8.671277631736299
CRI,Latin America and Caribbean,100,6.244503084448908
CUB,Latin America and Caribbean,1,4.940180682337835
CUB,Latin America and Caribbean,2,14.951630541117481
CUB,Latin America and Caribbean,3,8.222739192445266
CUB,Latin America and Caribbean,4,7.671170009563858
CUB,Latin America and Caribbean,5,7.997433669123149
CUB,Latin America and Caribbean,6,7.644769399423413
CUB,Latin America and Caribbean,7,8.69274846460179
CUB,Latin America and Caribbean,8,7.783864305566807
CUB,Latin America and Caribbean,9,6.174956233847314
CUB,Latin America and Caribbean,10,3.0853104344051436
CUB,Latin America and Caribbean,11,4.650144944622868
CUB,Latin America and Caribbean,12,6.367647814341845
CUB,Latin America and Caribbean,13,7.6655890676930545
CUB,Latin America and Caribbean,14,15.196748996488592
CUB,Latin America and Caribbean,15,9.366617997903866
CUB,Latin America and Caribbean,16,11.694978180177268
CUB,Latin America and Caribbean,17,12.36352817482923
CUB,Latin America and Caribbean,18,6.4304455275173025
CUB,Latin America and Caribbean,19,6.569760589871784
CUB,Latin America and Caribbean,20,6.428288685305065
CUB,Latin America and Caribbean,21,7.301087882678969
CUB,Latin America and Caribbean,22,2.885895538766984
CUB,Latin America and Caribbean,23,7.01020333643812
CUB,Latin America and Caribbean,24,3.996200142083901
CUB,Latin America and Caribbean,25,5.397500183546677
CUB,Latin America and Caribbean,26,8.171938360257311
CUB,Latin America and Caribbean,27,4.137952545649614
CUB,Latin America and Caribbean,28,3.513871378615939
CUB,Latin America and Caribbean,29,6.3959132333189626
CUB,Latin America and Caribbean,30,3.177570426960392
CUB,Latin America and Caribbean,31,3.840545640587608
CUB,Latin America and Caribbean,32,4.786331407727166
CUB,Latin America and Caribbean,33,4.391616765019452
CUB,Latin America and Caribbean,34,5.137792729059628
CUB,Latin America and Caribbean,35,4.246479438812324
CUB,Latin America and Caribbean,36,5.068262986401449
CUB,Latin America and Caribbean,37,9.053465999936403
CUB,Latin America and Caribbean,38,10.007079006462638
CUB,Latin America and Caribbean,39,6.374842207123703
CUB,Latin America and Caribbean,40,5.500528407895067
CUB,Latin America and Caribbean,41,14.122806416920978
CUB,Latin America and Caribbean,42,5.151673782303242
CUB,Latin America and Caribbean,43,4.693025060161783
CUB,Latin America and Caribbean,44,6.85833910951804
CUB,Latin America and Caribbean,45,4.240521216218414
CUB,Latin America and Caribbean,46,3.9559810145985783
CUB,Latin America and Caribbean,47,11.993692766681797
CUB,Latin America and Caribbean,48,8.315471210600927
CUB,Latin America and Caribbean,49,5.954623226959519
CUB,Latin America and Caribbean,50,12.144164338553246
CUB,Latin America and Caribbean,51,5.114326869587553
CUB,Latin America and Caribbean,52,4.502994414490786
CUB,Latin America and Caribbean,53,4.2898898438978295
CUB,Latin America and Caribbean,54,3.890665924854903
CUB,Latin America and Caribbean,55,4.353185892591369
CUB,Latin America and Caribbean,56,3.2659798887354623
CUB,Latin America and Caribbean,57,10.867110505470219
CUB,Latin America and Caribbean,58,7.240339420360859
CUB,Latin America and Caribbean,59,4.767891417139804
CUB,Latin America and Caribbean,60,6.061940654235217
CUB,Latin America and Caribbean,61,4.394405818369834
CUB,Latin America and Caribbean,62,21.691859404790442
CUB,Latin America and Caribbean,63,9.045759364635325
CUB,Latin America and Caribbean,64,9.021495400914171
CUB,Latin America and Caribbean,65,12.742194813637383
CUB,Latin America and Caribbean,66,8.979429078611687
CUB,Latin America and Caribbean,67,4.487347371223342
CUB,Latin America and Caribbean,68,4.428281502312218
CUB,Latin America and Caribbean,69,6.449486642955898
CUB,Latin America and Caribbean,70,6.180271087452424
CUB,Latin America and Caribbean,71,2.855367444311172
CUB,Latin America and Caribbean,72,9.003127977084073
CUB,Latin America and Caribbean,73,3.558059783650665
CUB,Latin America and Caribbean,74,6.262460755827418
CUB,Latin America and Caribbean,75,5.54803630288122
CUB,Latin America and Caribbean,76,9.451398495063755
CUB,Latin America and Caribbean,77,3.515608900884761
CUB,Latin America and Caribbean,78,13.087459663721067
CUB,Latin America and Caribbean,79,10.64151723935703
CUB,Latin America and Caribbean,80,7.076747841690894
CUB,Latin America and Caribbean,81,7.755785517440691
CUB,Latin America and Caribbean,82,7.5037669213233364
CUB,Latin America and Caribbean,83,7.385903900949923
CUB,Latin America and Caribbean,84,28.95231106893257
CUB,Latin America and Caribbean,85,2.8353185031689145
CUB,Latin America and Caribbean,86,5.733823936355609
CUB,Latin America and Caribbean,87,3.7412672434894607
CUB,Latin America and Caribbean,88,5.874875230715136
CUB,Latin America and Caribbean,89,3.966497511976422
CUB,Latin America and Caribbean,90,3.7908802488161784
CUB,Latin America and Caribbean,91,23.361176049177576
CUB,Latin America and Caribbean,92,2.9855263526397957
CUB,Latin America and Caribbean,93,3.8999991231079214
CUB,Latin America and Caribbean,94,6.406123687396843
CUB,Latin America and Caribbean,95,22.93975861065252
CUB,Latin America and Caribbean,96,8.39205763126845
CUB,Latin America and Caribbean,97,5.771059661573831
CUB,Latin America and Caribbean,98,6.990405332596167
CUB,Latin America and Caribbean,99,8.671277631736299
CUB,Latin America and Caribbean,100,6.244503084448908
CYP,High-income,1,2.8456842400324014
CYP,High-income,2,4.477116768214865
CYP,High-income,3,3.283696061379179
CYP,High-income,4,2.5511989115021696
CYP,High-income,5,3.3199450691798407
CYP,High-income,6,3.1634833044472286
CYP,High-income,7,2.0899114130913614
CYP,High-income,8,2.2468277663636678
CYP,High-income,9,7.666087559221759
CYP,High-income,10,2.0741310774019794
CYP,High-income,11,1.5621891820745686
CYP,High-income,12,3.3621107097868506
CYP,High-income,13,2.2950760251054163
CYP,High-income,14,2.909695184215961
CYP,High-income,15,3.6279881194570307
CYP,High-income,16,2.673208945111206
CYP,High-income,17,2.5182851641060693
