country,age_grp,meas,iso3c,value,itz
Rwanda,<65,U95,RWA,2.22e-4,Asia-Europe
Saint_Lucia,<65,U95,LCA,2.4e-5,Southern America
Saint_Vincent_and_the_Grenadines,<65,U95,VCT,4.9000000000000005e-5,Southern America
Samoa,<65,U95,WSM,2.7000000000000002e-5,Oceania-Melanesia-Polynesia
Sao_Tome_and_Principe,<65,U95,STP,2.33e-4,Africa
Saudi_Arabia,<65,U95,SAU,2.7000000000000002e-5,Asia-Europe
Senegal,<65,U95,SEN,2.23e-4,Africa
Serbia,<65,U95,SRB,1.1000000000000001e-5,Europe
Seychelles,<65,U95,SYC,5.6e-5,NA
Sierra_Leone,<65,U95,SLE,2.23e-4,Africa
Singapore,<65,U95,SGP,1.8e-5,Eastern and Southern Asia
Slovakia,<65,U95,SVK,2.2000000000000003e-5,Europe
Slovenia,<65,U95,SVN,2e-5,Europe
Solomon_Islands,<65,U95,SLB,2.1600000000000002e-4,Oceania-Melanesia-Polynesia
Somalia,<65,U95,SOM,2.32e-4,Africa
South_Africa,<65,U95,ZAF,6e-5,Africa
South_Sudan,<65,U95,SSD,2.2600000000000002e-4,Africa
Spain,<65,U95,ESP,4e-6,Europe
Sri_Lanka,<65,U95,LKA,2.7000000000000002e-5,Eastern and Southern Asia
Sudan,<65,U95,SDN,2.28e-4,Africa
Suriname,<65,U95,SUR,3.4e-5,Southern America
Swaziland,<65,U95,SWZ,2.22e-4,Africa
Sweden,<65,U95,SWE,2.8e-5,Europe
Switzerland,<65,U95,CHE,4e-6,Europe
Syria,<65,U95,SYR,2.7000000000000002e-5,Asia-Europe
Taiwan,<65,U95,TWN,3e-6,Eastern and Southern Asia
Tajikistan,<65,U95,TJK,2.17e-4,Asia-Europe
Thailand,<65,U95,THA,3.6e-5,Eastern and Southern Asia
Macedonia,<65,U95,MKD,2.7000000000000002e-5,Europe
Timor-Leste,<65,U95,TLS,2.24e-4,Eastern and Southern Asia
Togo,<65,U95,TGO,2.15e-4,Africa
Tonga,<65,U95,TON,3e-5,Oceania-Melanesia-Polynesia
Trinidad_and_Tobago,<65,U95,TTO,3e-5,Southern America
Tunisia,<65,U95,TUN,2.7000000000000002e-5,Europe
Turkey,<65,U95,TUR,1.4e-5,Asia-Europe
Turkmenistan,<65,U95,TKM,2.1600000000000002e-4,Asia-Europe
Uganda,<65,U95,UGA,2.23e-4,Africa
Ukraine,<65,U95,UKR,2.6000000000000002e-5,Europe
United_Arab_Emirates,<65,U95,ARE,3.2999999999999996e-5,Asia-Europe
United_Kingdom,<65,U95,GBR,6.900000000000001e-5,Europe
Tanzania,<65,U95,TZA,2.25e-4,Africa
United_States_of_America,<65,U95,USA,7e-6,Northern America
Uruguay,<65,U95,URY,9.1e-5,Southern America
Uzbekistan,<65,U95,UZB,5.6e-5,Asia-Europe
Vanuatu,<65,U95,VUT,2.25e-4,Oceania-Melanesia-Polynesia
Venezuela,<65,U95,VEN,2.2999999999999997e-5,Southern America
Vietnam,<65,U95,VNM,2.6000000000000002e-5,Eastern and Southern Asia
Yemen,<65,U95,YEM,2.22e-4,Asia-Europe
Zambia,<65,U95,ZMB,2.23e-4,Africa
Zimbabwe,<65,U95,ZWE,2.21e-4,Africa
Afghanistan,65-75,median,AFG,3.7200000000000004e-4,Asia-Europe
Albania,65-75,median,ALB,7.5e-5,Europe
Algeria,65-75,median,DZA,9.300000000000001e-5,Europe
Angola,65-75,median,AGO,3.71e-4,Africa
Antigua_and_Barbuda,65-75,median,ATG,0,NA
Argentina,65-75,median,ARG,4.39e-4,Southern America
Armenia,65-75,median,ARM,7.5e-5,Asia-Europe
Australia,65-75,median,AUS,3.4e-5,Oceania-Melanesia-Polynesia
Austria,65-75,median,AUT,1.16e-4,Europe
Azerbaijan,65-75,median,AZE,7.400000000000001e-5,Asia-Europe
Bahamas,65-75,median,BHS,9.900000000000001e-5,Northern America
Bahrain,65-75,median,BHR,8.800000000000001e-5,Asia-Europe
Bangladesh,65-75,median,BGD,9.400000000000001e-5,Eastern and Southern Asia
Barbados,65-75,median,BRB,2.61e-4,Southern America
Belarus,65-75,median,BLR,2.6000000000000002e-5,Europe
Belgium,65-75,median,BEL,9.300000000000001e-5,Europe
Belize,65-75,median,BLZ,2.27e-4,Northern America
Benin,65-75,median,BEN,3.74e-4,Africa
Bhutan,65-75,median,BTN,3.64e-4,Eastern and Southern Asia
Bolivia,65-75,median,BOL,3.74e-4,Southern America
Bosnia_and_Herzegovina,65-75,median,BIH,7.599999999999999e-5,Europe
Botswana,65-75,median,BWA,3.7600000000000003e-4,Africa
Brazil,65-75,median,BRA,1.8800000000000002e-4,Southern America
Brunei_Darussalam,65-75,median,BRN,7.900000000000001e-5,Eastern and Southern Asia
Bulgaria,65-75,median,BGR,1.28e-4,Europe
Burkina_Faso,65-75,median,BFA,3.75e-4,Africa
Burundi,65-75,median,BDI,3.8e-4,Africa
Cambodia,65-75,median,KHM,3.7200000000000004e-4,Eastern and Southern Asia
Cameroon,65-75,median,CMR,3.7299999999999996e-4,Africa
Canada,65-75,median,CAN,6.1e-5,Northern America
Cape_Verde,65-75,median,CPV,3.6799999999999995e-4,Africa
Central_African_Republic,65-75,median,CAF,3.7799999999999997e-4,Africa
Chad,65-75,median,TCD,3.6899999999999997e-4,Africa
Chile,65-75,median,CHL,3.0199999999999997e-4,Southern America
Hong_Kong,65-75,median,HKG,1.19e-4,Eastern and Southern Asia
China,65-75,median,CHN,1.9e-4,Eastern and Southern Asia
Colombia,65-75,median,COL,9.800000000000001e-5,Southern America
Comoros,65-75,median,COM,3.9200000000000004e-4,Africa
Congo,65-75,median,COG,3.7600000000000003e-4,Africa
Costa_Rica,65-75,median,CRI,1.1e-4,Southern America
Côte_d'Ivoire,65-75,median,CIV,3.6899999999999997e-4,Africa
Croatia,65-75,median,HRV,7.400000000000001e-5,Europe
Cuba,65-75,median,CUB,1.4099999999999998e-4,Northern America
Cyprus,65-75,median,CYP,7.900000000000001e-5,Asia-Europe
Czech_Republic,65-75,median,CZE,5.5e-5,Europe
Democratic_People's_Republic_of_Korea,65-75,median,PRK,9.400000000000001e-5,Eastern and Southern Asia
Democratic_Republic_of_the_Congo,65-75,median,COD,3.71e-4,Africa
Denmark,65-75,median,DNK,4.0999999999999994e-5,Europe
Djibouti,65-75,median,DJI,3.83e-4,Asia-Europe
Dominican_Republic,65-75,median,DOM,9.1e-5,Southern America
Ecuador,65-75,median,ECU,1.4199999999999998e-4,Northern America
Egypt,65-75,median,EGY,3.6899999999999997e-4,Asia-Europe
El_Salvador,65-75,median,SLV,3.7200000000000004e-4,Southern America
Equatorial_Guinea,65-75,median,GNQ,3.74e-4,Africa
Eritrea,65-75,median,ERI,3.64e-4,Asia-Europe
Estonia,65-75,median,EST,1.21e-4,Europe
Ethiopia,65-75,median,ETH,3.75e-4,Africa
Fiji,65-75,median,FJI,2.1e-4,Oceania-Melanesia-Polynesia
Finland,65-75,median,FIN,1.7e-5,Europe
France,65-75,median,FRA,7.3e-5,Europe
Gabon,65-75,median,GAB,3.6799999999999995e-4,Africa
Gambia,65-75,median,GMB,3.62e-4,Africa
Georgia,65-75,median,GEO,7.7e-5,Asia-Europe
Germany,65-75,median,DEU,2.9e-5,Europe
Ghana,65-75,median,GHA,3.74e-4,Africa
Greece,65-75,median,GRC,8.199999999999999e-5,Europe
Grenada,65-75,median,GRD,2.42e-4,NA
Guatemala,65-75,median,GTM,2.48e-4,Northern America
Guinea,65-75,median,GIN,3.66e-4,Africa
Guinea-Bissau,65-75,median,GNB,3.64e-4,Africa
Guyana,65-75,median,GUY,2.2e-4,Southern America
Haiti,65-75,median,HTI,3.6700000000000003e-4,Southern America
Honduras,65-75,median,HND,7.8e-5,Northern America
Hungary,65-75,median,HUN,5.7e-5,Europe
Iceland,65-75,median,ISL,3.9e-5,Europe
India,65-75,median,IND,3.51e-4,Eastern and Southern Asia
Indonesia,65-75,median,IDN,9.400000000000001e-5,Eastern and Southern Asia
Iran_(Islamic_Republic_of),65-75,median,IRN,7.599999999999999e-5,Asia-Europe
