simulation_index,age_grp,ihr
17,2,2.985062547067328e-4
18,2,2.8231083754298557e-4
19,2,3.5106739105756387e-4
20,2,3.314391956121559e-4
21,2,2.738666336677423e-4
22,2,3.3428497299661683e-4
23,2,2.5965619218665855e-4
24,2,3.6108978957515286e-4
25,2,3.175212675523976e-4
26,2,3.2318738168569543e-4
27,2,2.9363218799649716e-4
28,2,2.975268065983342e-4
29,2,3.471101596889042e-4
30,2,3.5812762437420557e-4
31,2,3.042977647613089e-4
32,2,3.357604570002179e-4
33,2,3.087030397359755e-4
34,2,2.947910316211701e-4
35,2,2.325150858005487e-4
36,2,2.655914654072163e-4
37,2,3.897466273294158e-4
38,2,3.09668570751553e-4
39,2,3.294085785337737e-4
40,2,2.260760236428343e-4
41,2,4.7179706364516166e-4
42,2,2.9635530396751695e-4
43,2,3.335705923649436e-4
44,2,3.183146208659291e-4
45,2,3.65229738644006e-4
46,2,2.647088623762345e-4
47,2,3.2680628130104524e-4
48,2,3.93612858673092e-4
49,2,2.731064772226037e-4
50,2,3.6516927803008034e-4
51,2,2.7252860736275646e-4
52,2,2.719494878847088e-4
53,2,3.0003388419180924e-4
54,2,3.1937672496909557e-4
55,2,2.75456622047176e-4
56,2,3.211594032291699e-4
57,2,2.6488901019638245e-4
58,2,3.067531109894936e-4
59,2,4.205377769113533e-4
60,2,2.508538629997562e-4
61,2,3.6298766681313157e-4
62,2,3.6458967956772465e-4
63,2,3.4715389557756095e-4
64,2,3.355266617351092e-4
65,2,3.2708481901479544e-4
66,2,2.915352732190729e-4
67,2,3.3414701811248647e-4
68,2,3.639157864880472e-4
69,2,2.8939879069905686e-4
70,2,2.9701301356719706e-4
71,2,2.9764328166992745e-4
72,2,2.6980623393764897e-4
73,2,3.155706750469743e-4
74,2,3.3363135538461673e-4
75,2,3.051266011509643e-4
76,2,2.493571844456511e-4
77,2,3.153513682447011e-4
78,2,2.9408963151392187e-4
79,2,3.139321370604998e-4
80,2,3.2253260105426397e-4
81,2,3.532693463702137e-4
82,2,3.2179620135133226e-4
83,2,2.2348060531069035e-4
84,2,3.142208146896152e-4
85,2,3.8205748357680863e-4
86,2,3.143760102869285e-4
87,2,3.3533520462455626e-4
88,2,2.035871936383235e-4
89,2,2.832315423663568e-4
90,2,4.0567886219440065e-4
91,2,3.142085875962556e-4
92,2,3.6535996673768724e-4
93,2,3.311405881823843e-4
94,2,3.937711082714842e-4
95,2,2.7957082715861177e-4
96,2,3.54440887970134e-4
97,2,3.5005626532268457e-4
98,2,2.529159721810142e-4
99,2,3.1086503125137623e-4
100,2,2.6198053815959836e-4
1,3,5.270743366603876e-4
2,3,4.5455888197147164e-4
3,3,4.978462423669985e-4
4,3,4.496476967349805e-4
