country_code,cluster_name,attach_code,age_grp,simulation_index,ifr
NCL,Oceania-Melanesia-Polynesia,AUS,2,78,3.3750776095059722e-6
NZL,Oceania-Melanesia-Polynesia,AUS,2,78,3.3750776095059722e-6
SLB,Oceania-Melanesia-Polynesia,AUS,2,78,3.3750776095059722e-6
TON,Oceania-Melanesia-Polynesia,AUS,2,78,3.3750776095059722e-6
VUT,Oceania-Melanesia-Polynesia,AUS,2,78,3.3750776095059722e-6
WSM,Oceania-Melanesia-Polynesia,AUS,2,78,3.3750776095059722e-6
AUS,Oceania-Melanesia-Polynesia,AUS,2,79,2.8014520093666514e-6
FJI,Oceania-Melanesia-Polynesia,AUS,2,79,2.8014520093666514e-6
NCL,Oceania-Melanesia-Polynesia,AUS,2,79,2.8014520093666514e-6
NZL,Oceania-Melanesia-Polynesia,AUS,2,79,2.8014520093666514e-6
SLB,Oceania-Melanesia-Polynesia,AUS,2,79,2.8014520093666514e-6
TON,Oceania-Melanesia-Polynesia,AUS,2,79,2.8014520093666514e-6
VUT,Oceania-Melanesia-Polynesia,AUS,2,79,2.8014520093666514e-6
WSM,Oceania-Melanesia-Polynesia,AUS,2,79,2.8014520093666514e-6
AUS,Oceania-Melanesia-Polynesia,AUS,2,80,2.524962885205713e-6
FJI,Oceania-Melanesia-Polynesia,AUS,2,80,2.524962885205713e-6
NCL,Oceania-Melanesia-Polynesia,AUS,2,80,2.524962885205713e-6
NZL,Oceania-Melanesia-Polynesia,AUS,2,80,2.524962885205713e-6
SLB,Oceania-Melanesia-Polynesia,AUS,2,80,2.524962885205713e-6
TON,Oceania-Melanesia-Polynesia,AUS,2,80,2.524962885205713e-6
VUT,Oceania-Melanesia-Polynesia,AUS,2,80,2.524962885205713e-6
WSM,Oceania-Melanesia-Polynesia,AUS,2,80,2.524962885205713e-6
AUS,Oceania-Melanesia-Polynesia,AUS,2,81,2.068768118866996e-6
FJI,Oceania-Melanesia-Polynesia,AUS,2,81,2.068768118866996e-6
NCL,Oceania-Melanesia-Polynesia,AUS,2,81,2.068768118866996e-6
NZL,Oceania-Melanesia-Polynesia,AUS,2,81,2.068768118866996e-6
SLB,Oceania-Melanesia-Polynesia,AUS,2,81,2.068768118866996e-6
TON,Oceania-Melanesia-Polynesia,AUS,2,81,2.068768118866996e-6
VUT,Oceania-Melanesia-Polynesia,AUS,2,81,2.068768118866996e-6
WSM,Oceania-Melanesia-Polynesia,AUS,2,81,2.068768118866996e-6
AUS,Oceania-Melanesia-Polynesia,AUS,2,82,3.014545863030795e-6
FJI,Oceania-Melanesia-Polynesia,AUS,2,82,3.014545863030795e-6
NCL,Oceania-Melanesia-Polynesia,AUS,2,82,3.014545863030795e-6
NZL,Oceania-Melanesia-Polynesia,AUS,2,82,3.014545863030795e-6
SLB,Oceania-Melanesia-Polynesia,AUS,2,82,3.014545863030795e-6
TON,Oceania-Melanesia-Polynesia,AUS,2,82,3.014545863030795e-6
VUT,Oceania-Melanesia-Polynesia,AUS,2,82,3.014545863030795e-6
WSM,Oceania-Melanesia-Polynesia,AUS,2,82,3.014545863030795e-6
AUS,Oceania-Melanesia-Polynesia,AUS,2,83,2.1904503813251627e-6
FJI,Oceania-Melanesia-Polynesia,AUS,2,83,2.1904503813251627e-6
NCL,Oceania-Melanesia-Polynesia,AUS,2,83,2.1904503813251627e-6
NZL,Oceania-Melanesia-Polynesia,AUS,2,83,2.1904503813251627e-6
SLB,Oceania-Melanesia-Polynesia,AUS,2,83,2.1904503813251627e-6
TON,Oceania-Melanesia-Polynesia,AUS,2,83,2.1904503813251627e-6
VUT,Oceania-Melanesia-Polynesia,AUS,2,83,2.1904503813251627e-6
WSM,Oceania-Melanesia-Polynesia,AUS,2,83,2.1904503813251627e-6
AUS,Oceania-Melanesia-Polynesia,AUS,2,84,5.5479264915906135e-6
FJI,Oceania-Melanesia-Polynesia,AUS,2,84,5.5479264915906135e-6
NCL,Oceania-Melanesia-Polynesia,AUS,2,84,5.5479264915906135e-6
NZL,Oceania-Melanesia-Polynesia,AUS,2,84,5.5479264915906135e-6
SLB,Oceania-Melanesia-Polynesia,AUS,2,84,5.5479264915906135e-6
TON,Oceania-Melanesia-Polynesia,AUS,2,84,5.5479264915906135e-6
VUT,Oceania-Melanesia-Polynesia,AUS,2,84,5.5479264915906135e-6
WSM,Oceania-Melanesia-Polynesia,AUS,2,84,5.5479264915906135e-6
AUS,Oceania-Melanesia-Polynesia,AUS,2,85,2.9972254257100187e-6
FJI,Oceania-Melanesia-Polynesia,AUS,2,85,2.9972254257100187e-6
NCL,Oceania-Melanesia-Polynesia,AUS,2,85,2.9972254257100187e-6
NZL,Oceania-Melanesia-Polynesia,AUS,2,85,2.9972254257100187e-6
SLB,Oceania-Melanesia-Polynesia,AUS,2,85,2.9972254257100187e-6
TON,Oceania-Melanesia-Polynesia,AUS,2,85,2.9972254257100187e-6
VUT,Oceania-Melanesia-Polynesia,AUS,2,85,2.9972254257100187e-6
