iso3c,gdpcap,gdp_prop,cet
NER,545.412898235706,0.25,136.3532245589265
NGA,2449.58798087473,0.17,416.4299567487041
MKD,5500.39905883565,0.72,3960.287322361668
NOR,79442.533445361,0.95,75470.40677309294
OMN,18856.8752373478,0.31,5845.631323577817
PAK,1695.95652138808,0.2,339.19130427761604
PAN,15388.0558648904,0.64,9848.355753529857
PNG,2462.5490906188,0.16,394.00785449900803
PRY,6193.37461221618,0.68,4211.494736307003
PER,6554.96105928135,0.5,3277.480529640675
PHL,3527.98115242547,0.32,1128.9539687761505
POL,17117.3281008593,0.53,9072.183893455429
PRT,22125.9391947109,0.84,18585.788923557157
QAT,63428.3640907244,0.26,16491.374663588344
ROU,12188.642461532,0.46,5606.7755323047195
RUS,10030.0390625,0.53,5315.920703125
RWA,940.365070250953,0.31,291.51317177779543
WSM,3591.80494763263,0.61,2191.0010180559043
STP,1395.15752802692,0.42,585.9661617713064
SAU,21138.646414239,0.46,9723.77735054994
SEN,1465.10574968521,0.3,439.53172490556295
SRB,7493.16180160028,0.84,6294.2559133442355
SLE,626.902043510272,0.31,194.33963348818435
SGP,67359.7898784862,0.36,24249.52435625503
SVK,18877.9593761663,0.57,10760.436844414791
SVN,25349.7585533515,0.75,19012.318915013624
SLB,1893.10430072604,0.42,795.1038063049368
ZAF,6022.42750828084,0.68,4095.2507056309714
ESP,27702.7452993409,0.84,23270.306051446354
LKA,3988.08015990353,0.35,1395.8280559662353
LCA,10802.6557167098,0.44,4753.168515352312
VCT,8460.36548216137,0.4,3384.1461928645485
SDN,1025.36694335938,0.28,287.10274414062644
SUR,7141.81649588964,0.84,5999.125856547297
SWE,56029.4952556461,0.98,54908.905350533176
CHE,90057.0359422233,1.03,92758.74702049
TJK,1356.31728120841,0.35,474.7110484229434
TZA,1057.65832519531,0.26,274.9911645507806
THA,6278.35143969784,0.37,2322.9900326882007
TLS,1611.46865755427,0.44,709.0462093238789
TGO,888.175619676689,0.24,213.16214872240536
TON,4426,0.44,1947.44
TTO,14155.1747962802,0.52,7360.690894065704
TUN,3894.16668688978,0.55,2141.7916777893793
TUR,14055.1055648777,0.43,6043.695392897411
TKM,7297.31105443056,0.55,4013.5210799368083
UGA,934.340838964244,0.17,158.8379426239215
UKR,2032.85009765625,0.52,1057.08205078125
ARE,45698.0105275178,0.37,16908.263895181586
GBR,47923.4822383348,0.88,42172.66436973462
USA,62789.1279211483,1.47,92300.01804408799
URY,18214.8075405042,0.79,14389.697956998318
UZB,3473.3616428672,0.42,1458.8118900042239
VUT,2575.93080522151,0.27,695.5013174098078
VNM,3655.46267827855,0.44,1608.4035784425619
ZMB,1308.10183810137,0.38,497.0786984785206
ZWE,1345.76908226008,0.53,713.2576135978425
ALB,5155.29085964151,0.5074318447347413,2615.958751052042
ERI,643.82,0.2702383763979957,173.9848714925576
GUF,15600,0.6336753273780985,9885.335107098337
HKG,43369.7143017728,0.7502551983249092,32538.353604771204
LBY,8150.631713421,0.5596591904744248,4561.575946588371
MAC,32482.920552713,0.7172993356726172,23299.977333167437
NCL,35745.2,0.7282108077446734,26030.040964994896
PRI,29752.128106078,0.707287195606039,21043.29925145952
PRK,590,0.2602851961173031,153.56826570920884
PSE,3095.49981243601,0.44927542983178076,1390.732008776385
SSD,550.86,0.2524589545999814,139.06953973094576
SYR,420.62,0.22170314401488772,93.25277643554207
VEN,15975.73,0.6363888739187852,10166.776824730554
YEM,1017.87309536038,0.32246337891888005,328.22679764052754
TWN,32679,0.7179855089673992,23463.04844754564
SOM,509.052606466389,0.2434597791042566,123.93383512275314
XKX,4724.79054731486,0.49748964868182455,2350.5343894788753
