"","iso3c","age_grp","cluster_name","yll"
"282","DEU",4,"Europe",6.67431499949512
"283","DNK",4,"Europe",6.48000246520713
"284","DZA",4,"Europe",6.25665743310181
"285","ESP",4,"Europe",6.37690049560203
"286","EST",4,"Europe",7.11599449173451
"287","FIN",4,"Europe",6.35852492273896
"288","FRA",4,"Europe",6.58843175644419
"289","GBR",4,"Europe",6.53579876526878
"290","GRC",4,"Europe",6.61298212944347
"291","HRV",4,"Europe",6.48629651079768
"292","HUN",4,"Europe",6.74251308499256
"293","IRL",4,"Europe",6.28784427466619
"294","ISL",4,"Europe",6.29225675723407
"295","ITA",4,"Europe",6.30273794329327
"296","LBY",4,"Europe",6.27615086956642
"297","LTU",4,"Europe",6.73287294946407
"298","LUX",4,"Europe",6.78688027891482
"299","LVA",4,"Europe",6.94540754112194
"300","MAR",4,"Europe",6.25810481115294
"301","MDA",4,"Europe",6.0519592609981
"302","MKD",4,"Europe",5.79449665940147
"303","MLT",4,"Europe",6.94680803684622
"304","MNE",4,"Europe",6.65990755732525
"305","NLD",4,"Europe",6.22643545854441
"306","NOR",4,"Europe",6.29162972778418
"307","POL",4,"Europe",6.75309313053878
"308","PRT",4,"Europe",6.28750338984555
"309","ROU",4,"Europe",6.50072660126163
"310","SRB",4,"Europe",6.18981744586275
"311","SVK",4,"Europe",6.52352418414266
"312","SVN",4,"Europe",6.68962177214428
"313","SWE",4,"Europe",6.25101445907916
"314","TUN",4,"Europe",6.22612845220122
"315","UKR",4,"Europe",6.14704603779592
"316","XKX",4,"Europe",7.16882429862313
"317","BOL",4,"Southern America",5.74845438050342
"318","BRA",4,"Southern America",6.14053533730073
"319","BRB",4,"Southern America",5.94020530817569
"320","CHL",4,"Southern America",7.09231124492422
"321","COL",4,"Southern America",6.25646801855531
"322","CRI",4,"Southern America",6.06326712209741
"323","DOM",4,"Southern America",7.38148736027092
"324","GUF",4,"Southern America",6.4311191697133
"325","GUY",4,"Southern America",6.72094839720534
"326","HTI",4,"Southern America",5.9201524098621
"327","JAM",4,"Southern America",5.9984986954386
"328","LCA",4,"Southern America",6.04267441162012
"329","PAN",4,"Southern America",7.45156080309624
